yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1949,Fair,2452,39.1668527777778,-76.72356666666667,Anne Arundel County,MD 176,95,11,15,State Highway Agency,State Highway Agency,2452 vehicles
1936,Fair,13400,39.16388702,-76.70555878,Anne Arundel County,MD 176,289,03,15,State Highway Agency,State Highway Agency,13400 vehicles
1920,Fair,3682,39.0146611111111,-76.4718,Anne Arundel County,MD 179,240,07,16,State Highway Agency,State Highway Agency,3682 vehicles
1946,Fair,19251,38.9726694444444,-76.48550277777778,Anne Arundel County,MD 181(SIXTH ST),2153,02,16,State Highway Agency,State Highway Agency,19251 vehicles
1992,Good,12630,39.2248611111111,-76.64152222222222,Anne Arundel County,MD 648E,NA,08,15,State Highway Agency,State Highway Agency,12630 vehicles
1989,Good,16400,39.206425,-76.641675,Anne Arundel County,MD 648E,NA,08,16,State Highway Agency,State Highway Agency,16400 vehicles
1955,Fair,18621,39.19666672,-76.63166809,Anne Arundel County,IS 97,NA,03,16,State Highway Agency,State Highway Agency,18621 vehicles
1994,Good,8400,39.185231,-76.6323,Anne Arundel County,WELLHAM ROAD,NA,10,16,State Highway Agency,State Highway Agency,8400 vehicles
1955,Fair,103350,39.17499924,-76.63666534,Anne Arundel County,IS 97,NA,03,17,State Highway Agency,State Highway Agency,103350 vehicles
1955,Fair,105110,39.16500092,-76.64167023,Anne Arundel County,IS 97,NA,01,16,State Highway Agency,State Highway Agency,105110 vehicles
1991,Good,6220,39.160811,-76.644358,Anne Arundel County,STEWART AVENUE,NA,06,16,State Highway Agency,State Highway Agency,6220 vehicles
2004,Good,8580,39.144761,-76.644586,Anne Arundel County,MD 174,NA,12,16,State Highway Agency,State Highway Agency,8580 vehicles
1980,Fair,17610,39.1831333333333,-76.61441944444445,Anne Arundel County,MD 3 BU,NA,05,16,State Highway Agency,State Highway Agency,17610 vehicles
1990,Good,135900,39.12666702,-76.64167023,Anne Arundel County,IS 97 NBR,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
1990,Good,135900,39.12666702,-76.64167023,Anne Arundel County,IS 97 SBR,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
